Pageable host memory calculations:
0 + 8 = 8
1 + 11 = 12
2 + 2 = 4
3 + 15 = 18
4 + 18 = 22
5 + 10 = 15
6 + 11 = 17
7 + 17 = 24
8 + 24 = 32
9 + 21 = 30
10 + 12 = 22
11 + 2 = 13
12 + 15 = 27
13 + 9 = 22
14 + 13 = 27
15 + 1 = 16
16 + 15 = 31
17 + 1 = 18
18 + 22 = 40
19 + 11 = 30
20 + 11 = 31
21 + 18 = 39
22 + 17 = 39
23 + 4 = 27
24 + 7 = 31
25 + 5 = 30
26 + 12 = 38
27 + 23 = 50
28 + 17 = 45
29 + 10 = 39
30 + 4 = 34
31 + 2 = 33
32 + 22 = 54
33 + 8 = 41
34 + 19 = 53
35 + 17 = 52
36 + 18 = 54
37 + 6 = 43
38 + 11 = 49
39 + 17 = 56
40 + 4 = 44
41 + 23 = 64
42 + 21 = 63
43 + 19 = 62
44 + 9 = 53
45 + 12 = 57
46 + 23 = 69
47 + 24 = 71
48 + 15 = 63
49 + 20 = 69
50 + 13 = 63
51 + 1 = 52
52 + 16 = 68
53 + 5 = 58
54 + 6 = 60
55 + 23 = 78
56 + 12 = 68
57 + 20 = 77
58 + 21 = 79
59 + 6 = 65
60 + 5 = 65
61 + 0 = 61
62 + 9 = 71
63 + 2 = 65
64 + 11 = 75
65 + 5 = 70
66 + 21 = 87
67 + 4 = 71
68 + 13 = 81
69 + 7 = 76
70 + 24 = 94
71 + 20 = 91
72 + 7 = 79
73 + 20 = 93
74 + 14 = 88
75 + 17 = 92
76 + 9 = 85
77 + 14 = 91
78 + 18 = 96
79 + 0 = 79
80 + 12 = 92
81 + 8 = 89
82 + 1 = 83
83 + 3 = 86
84 + 13 = 97
85 + 9 = 94
86 + 3 = 89
87 + 1 = 88
88 + 4 = 92
89 + 24 = 113
90 + 7 = 97
91 + 10 = 101
92 + 1 = 93
93 + 18 = 111
94 + 14 = 108
95 + 12 = 107
96 + 1 = 97
97 + 11 = 108
98 + 19 = 117
99 + 14 = 113
100 + 20 = 120
101 + 20 = 121
102 + 9 = 111
103 + 3 = 106
104 + 17 = 121
105 + 1 = 106
106 + 22 = 128
107 + 2 = 109
108 + 17 = 125
109 + 17 = 126
110 + 2 = 112
111 + 6 = 117
112 + 1 = 113
113 + 5 = 118
114 + 11 = 125
115 + 16 = 131
116 + 15 = 131
117 + 14 = 131
118 + 19 = 137
119 + 19 = 138
120 + 15 = 135
121 + 4 = 125
122 + 6 = 128
123 + 17 = 140
124 + 22 = 146
125 + 21 = 146
126 + 6 = 132
127 + 0 = 127
128 + 9 = 137
129 + 2 = 131
130 + 17 = 147
131 + 6 = 137
132 + 22 = 154
133 + 3 = 136
134 + 11 = 145
135 + 15 = 150
136 + 6 = 142
137 + 8 = 145
138 + 19 = 157
139 + 24 = 163
140 + 3 = 143
141 + 21 = 162
142 + 7 = 149
143 + 4 = 147
144 + 3 = 147
145 + 19 = 164
146 + 20 = 166
147 + 18 = 165
148 + 8 = 156
149 + 15 = 164
150 + 15 = 165
151 + 24 = 175
152 + 21 = 173
153 + 23 = 176
154 + 18 = 172
155 + 20 = 175
156 + 21 = 177
157 + 1 = 158
158 + 21 = 179
159 + 5 = 164
160 + 4 = 164
161 + 13 = 174
162 + 14 = 176
163 + 3 = 166
164 + 16 = 180
165 + 0 = 165
166 + 18 = 184
167 + 0 = 167
168 + 9 = 177
169 + 14 = 183
170 + 24 = 194
171 + 14 = 185
172 + 12 = 184
173 + 6 = 179
174 + 18 = 192
175 + 16 = 191
176 + 2 = 178
177 + 15 = 192
178 + 9 = 187
179 + 11 = 190
180 + 7 = 187
181 + 1 = 182
182 + 12 = 194
183 + 3 = 186
184 + 0 = 184
185 + 7 = 192
186 + 24 = 210
187 + 21 = 208
188 + 8 = 196
189 + 20 = 209
190 + 4 = 194
191 + 12 = 203
192 + 10 = 202
193 + 18 = 211
194 + 18 = 212
195 + 3 = 198
196 + 18 = 214
197 + 11 = 208
198 + 3 = 201
199 + 4 = 203
200 + 1 = 201
201 + 4 = 205
202 + 18 = 220
203 + 13 = 216
204 + 13 = 217
205 + 13 = 218
206 + 6 = 212
207 + 15 = 222
208 + 4 = 212
209 + 18 = 227
210 + 3 = 213
211 + 13 = 224
212 + 19 = 231
213 + 17 = 230
214 + 17 = 231
215 + 21 = 236
216 + 24 = 240
217 + 18 = 235
218 + 20 = 238
219 + 8 = 227
220 + 15 = 235
221 + 24 = 245
222 + 22 = 244
223 + 0 = 223
224 + 19 = 243
225 + 15 = 240
226 + 5 = 231
227 + 14 = 241
228 + 4 = 232
229 + 11 = 240
230 + 19 = 249
231 + 7 = 238
232 + 17 = 249
233 + 14 = 247
234 + 22 = 256
235 + 7 = 242
236 + 5 = 241
237 + 4 = 241
238 + 23 = 261
239 + 11 = 250
240 + 22 = 262
241 + 3 = 244
242 + 24 = 266
243 + 18 = 261
244 + 21 = 265
245 + 18 = 263
246 + 15 = 261
247 + 22 = 269
248 + 11 = 259
249 + 10 = 259
250 + 5 = 255
251 + 1 = 252
252 + 11 = 263
253 + 5 = 258
254 + 3 = 257
255 + 5 = 260
0 - 8 = -8
1 - 11 = -10
2 - 2 = 0
3 - 15 = -12
4 - 18 = -14
5 - 10 = -5
6 - 11 = -5
7 - 17 = -10
8 - 24 = -16
9 - 21 = -12
10 - 12 = -2
11 - 2 = 9
12 - 15 = -3
13 - 9 = 4
14 - 13 = 1
15 - 1 = 14
16 - 15 = 1
17 - 1 = 16
18 - 22 = -4
19 - 11 = 8
20 - 11 = 9
21 - 18 = 3
22 - 17 = 5
23 - 4 = 19
24 - 7 = 17
25 - 5 = 20
26 - 12 = 14
27 - 23 = 4
28 - 17 = 11
29 - 10 = 19
30 - 4 = 26
31 - 2 = 29
32 - 22 = 10
33 - 8 = 25
34 - 19 = 15
35 - 17 = 18
36 - 18 = 18
37 - 6 = 31
38 - 11 = 27
39 - 17 = 22
40 - 4 = 36
41 - 23 = 18
42 - 21 = 21
43 - 19 = 24
44 - 9 = 35
45 - 12 = 33
46 - 23 = 23
47 - 24 = 23
48 - 15 = 33
49 - 20 = 29
50 - 13 = 37
51 - 1 = 50
52 - 16 = 36
53 - 5 = 48
54 - 6 = 48
55 - 23 = 32
56 - 12 = 44
57 - 20 = 37
58 - 21 = 37
59 - 6 = 53
60 - 5 = 55
61 - 0 = 61
62 - 9 = 53
63 - 2 = 61
64 - 11 = 53
65 - 5 = 60
66 - 21 = 45
67 - 4 = 63
68 - 13 = 55
69 - 7 = 62
70 - 24 = 46
71 - 20 = 51
72 - 7 = 65
73 - 20 = 53
74 - 14 = 60
75 - 17 = 58
76 - 9 = 67
77 - 14 = 63
78 - 18 = 60
79 - 0 = 79
80 - 12 = 68
81 - 8 = 73
82 - 1 = 81
83 - 3 = 80
84 - 13 = 71
85 - 9 = 76
86 - 3 = 83
87 - 1 = 86
88 - 4 = 84
89 - 24 = 65
90 - 7 = 83
91 - 10 = 81
92 - 1 = 91
93 - 18 = 75
94 - 14 = 80
95 - 12 = 83
96 - 1 = 95
97 - 11 = 86
98 - 19 = 79
99 - 14 = 85
100 - 20 = 80
101 - 20 = 81
102 - 9 = 93
103 - 3 = 100
104 - 17 = 87
105 - 1 = 104
106 - 22 = 84
107 - 2 = 105
108 - 17 = 91
109 - 17 = 92
110 - 2 = 108
111 - 6 = 105
112 - 1 = 111
113 - 5 = 108
114 - 11 = 103
115 - 16 = 99
116 - 15 = 101
117 - 14 = 103
118 - 19 = 99
119 - 19 = 100
120 - 15 = 105
121 - 4 = 117
122 - 6 = 116
123 - 17 = 106
124 - 22 = 102
125 - 21 = 104
126 - 6 = 120
127 - 0 = 127
128 - 9 = 119
129 - 2 = 127
130 - 17 = 113
131 - 6 = 125
132 - 22 = 110
133 - 3 = 130
134 - 11 = 123
135 - 15 = 120
136 - 6 = 130
137 - 8 = 129
138 - 19 = 119
139 - 24 = 115
140 - 3 = 137
141 - 21 = 120
142 - 7 = 135
143 - 4 = 139
144 - 3 = 141
