Pageable host memory calculations:
0 + 8 = 8
1 + 11 = 12
2 + 2 = 4
3 + 15 = 18
4 + 18 = 22
5 + 10 = 15
6 + 11 = 17
7 + 17 = 24
8 + 24 = 32
9 + 21 = 30
10 + 12 = 22
11 + 2 = 13
12 + 15 = 27
13 + 9 = 22
14 + 13 = 27
15 + 1 = 16
16 + 15 = 31
17 + 1 = 18
18 + 22 = 40
19 + 11 = 30
20 + 11 = 31
21 + 18 = 39
22 + 17 = 39
23 + 4 = 27
24 + 7 = 31
25 + 5 = 30
26 + 12 = 38
27 + 23 = 50
28 + 17 = 45
29 + 10 = 39
30 + 4 = 34
31 + 2 = 33
32 + 22 = 54
33 + 8 = 41
34 + 19 = 53
35 + 17 = 52
36 + 18 = 54
37 + 6 = 43
38 + 11 = 49
39 + 17 = 56
40 + 4 = 44
41 + 23 = 64
42 + 21 = 63
43 + 19 = 62
44 + 9 = 53
45 + 12 = 57
46 + 23 = 69
47 + 24 = 71
48 + 15 = 63
49 + 20 = 69
50 + 13 = 63
51 + 1 = 52
52 + 16 = 68
53 + 5 = 58
54 + 6 = 60
55 + 23 = 78
56 + 12 = 68
57 + 20 = 77
58 + 21 = 79
59 + 6 = 65
60 + 5 = 65
61 + 0 = 61
62 + 9 = 71
63 + 2 = 65
64 + 11 = 75
65 + 5 = 70
66 + 21 = 87
67 + 4 = 71
68 + 13 = 81
69 + 7 = 76
70 + 24 = 94
71 + 20 = 91
72 + 7 = 79
73 + 20 = 93
74 + 14 = 88
75 + 17 = 92
76 + 9 = 85
77 + 14 = 91
78 + 18 = 96
79 + 0 = 79
80 + 12 = 92
81 + 8 = 89
82 + 1 = 83
83 + 3 = 86
84 + 13 = 97
85 + 9 = 94
86 + 3 = 89
87 + 1 = 88
88 + 4 = 92
89 + 24 = 113
90 + 7 = 97
91 + 10 = 101
92 + 1 = 93
93 + 18 = 111
94 + 14 = 108
95 + 12 = 107
96 + 1 = 97
97 + 11 = 108
98 + 19 = 117
99 + 14 = 113
100 + 20 = 120
101 + 20 = 121
102 + 9 = 111
103 + 3 = 106
104 + 17 = 121
105 + 1 = 106
106 + 22 = 128
107 + 2 = 109
108 + 17 = 125
109 + 17 = 126
110 + 2 = 112
111 + 6 = 117
112 + 1 = 113
113 + 5 = 118
114 + 11 = 125
115 + 16 = 131
116 + 15 = 131
117 + 14 = 131
118 + 19 = 137
119 + 19 = 138
120 + 15 = 135
121 + 4 = 125
122 + 6 = 128
123 + 17 = 140
124 + 22 = 146
125 + 21 = 146
126 + 6 = 132
127 + 0 = 127
128 + 9 = 137
129 + 2 = 131
130 + 17 = 147
131 + 6 = 137
132 + 22 = 154
133 + 3 = 136
134 + 11 = 145
135 + 15 = 150
136 + 6 = 142
137 + 8 = 145
138 + 19 = 157
139 + 24 = 163
140 + 3 = 143
141 + 21 = 162
142 + 7 = 149
143 + 4 = 147
144 + 3 = 147
145 + 19 = 164
146 + 20 = 166
147 + 18 = 165
148 + 8 = 156
149 + 15 = 164
150 + 15 = 165
151 + 24 = 175
152 + 21 = 173
153 + 23 = 176
154 + 18 = 172
155 + 20 = 175
156 + 21 = 177
157 + 1 = 158
158 + 21 = 179
159 + 5 = 164
160 + 4 = 164
161 + 13 = 174
162 + 14 = 176
163 + 3 = 166
164 + 16 = 180
165 + 0 = 165
166 + 18 = 184
167 + 0 = 167
168 + 9 = 177
169 + 14 = 183
170 + 24 = 194
171 + 14 = 185
172 + 12 = 184
173 + 6 = 179
174 + 18 = 192
175 + 16 = 191
176 + 2 = 178
177 + 15 = 192
178 + 9 = 187
179 + 11 = 190
180 + 7 = 187
181 + 1 = 182
182 + 12 = 194
183 + 3 = 186
184 + 0 = 184
185 + 7 = 192
186 + 24 = 210
187 + 21 = 208
188 + 8 = 196
189 + 20 = 209
190 + 4 = 194
191 + 12 = 203
192 + 10 = 202
193 + 18 = 211
194 + 18 = 212
195 + 3 = 198
196 + 18 = 214
197 + 11 = 208
198 + 3 = 201
199 + 4 = 203
200 + 1 = 201
201 + 4 = 205
202 + 18 = 220
203 + 13 = 216
204 + 13 = 217
205 + 13 = 218
206 + 6 = 212
207 + 15 = 222
208 + 4 = 212
209 + 18 = 227
210 + 3 = 213
211 + 13 = 224
212 + 19 = 231
213 + 17 = 230
214 + 17 = 231
215 + 21 = 236
216 + 24 = 240
217 + 18 = 235
218 + 20 = 238
219 + 8 = 227
220 + 15 = 235
221 + 24 = 245
222 + 22 = 244
223 + 0 = 223
224 + 19 = 243
225 + 15 = 240
226 + 5 = 231
227 + 14 = 241
228 + 4 = 232
229 + 11 = 240
230 + 19 = 249
231 + 7 = 238
232 + 17 = 249
233 + 14 = 247
234 + 22 = 256
235 + 7 = 242
236 + 5 = 241
237 + 4 = 241
238 + 23 = 261
239 + 11 = 250
240 + 22 = 262
241 + 3 = 244
242 + 24 = 266
243 + 18 = 261
244 + 21 = 265
245 + 18 = 263
246 + 15 = 261
247 + 22 = 269
248 + 11 = 259
249 + 10 = 259
250 + 5 = 255
251 + 1 = 252
252 + 11 = 263
253 + 5 = 258
254 + 3 = 257
255 + 5 = 260
256 + 20 = 276
257 + 11 = 268
258 + 19 = 277
259 + 1 = 260
260 + 22 = 282
261 + 15 = 276
262 + 8 = 270
263 + 16 = 279
264 + 7 = 271
265 + 8 = 273
266 + 24 = 290
267 + 12 = 279
268 + 12 = 280
269 + 24 = 293
270 + 0 = 270
271 + 11 = 282
272 + 2 = 274
273 + 24 = 297
274 + 4 = 278
275 + 0 = 275
276 + 18 = 294
277 + 21 = 298
278 + 23 = 301
279 + 6 = 285
280 + 6 = 286
281 + 5 = 286
282 + 8 = 290
283 + 19 = 302
284 + 10 = 294
285 + 13 = 298
286 + 24 = 310
287 + 6 = 293
288 + 24 = 312
289 + 21 = 310
290 + 9 = 299
291 + 23 = 314
292 + 13 = 305
293 + 18 = 311
294 + 15 = 309
295 + 20 = 315
296 + 1 = 297
297 + 16 = 313
298 + 9 = 307
299 + 15 = 314
300 + 15 = 315
301 + 9 = 310
302 + 1 = 303
303 + 17 = 320
304 + 11 = 315
305 + 7 = 312
306 + 20 = 326
307 + 6 = 313
308 + 4 = 312
309 + 18 = 327
310 + 12 = 322
311 + 12 = 323
312 + 23 = 335
313 + 22 = 335
314 + 9 = 323
315 + 9 = 324
316 + 11 = 327
317 + 10 = 327
318 + 17 = 335
319 + 12 = 331
320 + 6 = 326
321 + 1 = 322
322 + 13 = 335
323 + 22 = 345
324 + 21 = 345
325 + 5 = 330
326 + 19 = 345
327 + 24 = 351
328 + 21 = 349
329 + 4 = 333
330 + 14 = 344
331 + 11 = 342
332 + 15 = 347
333 + 17 = 350
334 + 5 = 339
335 + 3 = 338
336 + 2 = 338
337 + 0 = 337
338 + 9 = 347
339 + 8 = 347
340 + 20 = 360
341 + 24 = 365
342 + 22 = 364
343 + 19 = 362
344 + 21 = 365
345 + 6 = 351
346 + 5 = 351
347 + 9 = 356
348 + 17 = 365
349 + 22 = 371
350 + 22 = 372
351 + 0 = 351
352 + 0 = 352
353 + 10 = 363
354 + 22 = 376
355 + 24 = 379
356 + 15 = 371
357 + 17 = 374
358 + 23 = 381
359 + 13 = 372
360 + 23 = 383
361 + 15 = 376
362 + 24 = 386
363 + 15 = 378
364 + 9 = 373
365 + 6 = 371
366 + 19 = 385
367 + 11 = 378
368 + 7 = 375
369 + 5 = 374
370 + 19 = 389
371 + 4 = 375
372 + 4 = 376
373 + 19 = 392
374 + 23 = 397
375 + 1 = 376
376 + 0 = 376
377 + 5 = 382
378 + 10 = 388
379 + 17 = 396
380 + 4 = 384
381 + 9 = 390
382 + 18 = 400
383 + 5 = 388
384 + 21 = 405
385 + 17 = 402
386 + 4 = 390
387 + 13 = 400
388 + 11 = 399
389 + 4 = 393
390 + 1 = 391
391 + 9 = 400
392 + 19 = 411
393 + 2 = 395
394 + 2 = 396
395 + 6 = 401
396 + 9 = 405
397 + 21 = 418
398 + 17 = 415
399 + 18 = 417
400 + 3 = 403
